sample	Nonsynonymous	Synonymous
TCGA-A7-A26H-01A-11D-A167-09	1.5879064252698238	0.5623835256163959
TCGA-A7-A26I-01A-11D-A167-09	0.5789242175462899	0.066162767719576
TCGA-A7-A26J-01A-11D-A272-09	0.31427314666798595	0.08270345964946998
TCGA-A7-A3RF-01A-11D-A228-09	0.34735453052777393	0.23156968701851596
TCGA-A7-A425-01A-11D-A243-09	0.43005799017724394	0.11578484350925798
TCGA-A7-A4SC-01A-12D-A25Q-09	0.3638952224576679	0.066162767719576
TCGA-A7-A5ZX-01A-12D-A29N-09	0.44659868210713793	0.11578484350925798
TCGA-AC-A23C-01A-12D-A167-09	1.5713657333399298	0.41351729824734995
TCGA-AC-A23E-01A-11D-A159-09	0.264651070878304	0.066162767719576
TCGA-AC-A23H-01A-11D-A159-09	52.665563104782485	17.615836905337108
